actual_price,discounted_price,discount_percentage,rating,rating_count
250.8,185.88,0.26,4.3,16299.0
15.59,5.99,0.62,4.3,30411.0
4.79,2.99,0.38,3.4,4642.0
9.59,4.79,0.5,4.3,12.0
23.99,17.99,0.25,4.4,1951.0
191.88,113.88,0.41,3.9,10480.0
17.99,7.64,0.58,4.1,24.0
10.79,4.79,0.56,3.9,254.0
19.2,13.07,0.32,4.0,3565.0
11.99,4.07,0.66,4.3,6255.0
5.99,1.79,0.7,4.0,7732.0
4.79,1.79,0.63,3.9,57.0
10.19,7.19,0.29,4.5,577.0
14.39,3.59,0.75,3.9,1193.0
15.59,4.79,0.69,4.2,13120.0
23.99,4.07,0.83,4.0,343.0
275.88,149.99,0.46,4.3,1611.0
4.79,2.99,0.38,4.0,6558.0
29.99,16.79,0.44,4.4,23169.0
575.88,395.99,0.31,4.3,4703.0
4.79,1.79,0.63,4.0,1423.0
11.99,3.9,0.67,4.3,2651.0
23.99,4.79,0.8,5.0,5.0
5.99,2.39,0.6,3.7,612.0
3.59,1.06,0.71,4.0,9378.0
13.19,4.79,0.64,4.1,2685.0
2.39,0.69,0.71,4.0,9378.0
23.99,9.59,0.6,3.3,576.0
5.99,2.46,0.59,3.8,313.0
8.39,3.59,0.57,4.1,2957.0
11.99,10.19,0.15,4.1,6736.0
23.99,11.39,0.53,4.4,13552.0
14.4,5.99,0.58,4.3,5451.0
5.82,3.59,0.38,4.3,10911.0
23.99,11.39,0.53,4.4,13552.0
13.19,4.55,0.66,4.3,2806.0
227.88,107.88,0.53,3.9,350.0
23.99,5.83,0.76,4.2,30023.0
132.0,68.39,0.48,4.2,4003.0
23.99,8.51,0.65,4.1,178817.0
850.8,575.88,0.32,4.3,7109.0
14.39,3.59,0.75,3.7,490.0
7.19,3.84,0.47,4.1,491.0
6.59,1.67,0.75,3.9,61.0
2.99,1.55,0.48,4.0,9378.0
431.99,299.99,0.31,4.2,32840.0
20.39,11.99,0.41,4.4,7318.0
5.99,2.7,0.55,4.1,789.0
35.99,6.56,0.82,4.3,407.0
8.39,3.11,0.63,3.8,2399.0
8.39,2.87,0.66,4.4,2640.0
11.99,4.19,0.65,4.0,839.0
7.19,5.6,0.22,4.4,44054.0
7.19,5.39,0.25,4.0,3231.0
383.88,143.88,0.63,4.2,64.0
7.19,4.2,0.42,3.9,8314.0
11.99,3.02,0.75,3.7,2249.0
7.19,2.45,0.66,3.6,339.0
119.88,77.88,0.35,4.0,27.0
7.19,2.82,0.61,3.5,197.0
9.6,3.59,0.63,4.5,74977.0
23.99,9.59,0.6,4.2,8583.0
11.99,3.59,0.7,3.8,928.0
203.88,83.99,0.59,3.8,110.0
719.99,515.99,0.28,4.1,6753.0
11.99,2.08,0.83,4.3,1237.0
7.2,2.51,0.65,4.4,18872.0
17.88,10.19,0.43,3.9,356.0
23.99,7.79,0.68,4.2,24269.0
10.79,3.59,0.67,3.8,425.0
9.59,4.79,0.5,4.1,1161.0
5.99,2.99,0.5,4.1,1508.0
27.59,14.99,0.46,4.3,7636.0
5.99,2.56,0.57,3.7,246.0
5.99,2.51,0.58,4.0,479.0
59.99,7.18,0.88,4.2,910.0
20.99,9.59,0.54,4.1,5626.0
7.14,1.91,0.73,4.3,14184.0
13.2,5.99,0.55,4.4,25177.0
599.99,383.99,0.36,4.3,21252.0
681.48,395.88,0.42,4.3,567.0
14.39,3.59,0.75,3.5,466.0
6.59,1.54,0.77,3.9,61.0
10.19,7.19,0.29,4.5,474.0
10.79,4.79,0.56,3.4,431.0
13.19,5.39,0.59,4.0,242.0
9.59,3.05,0.68,4.0,2905.0
9.54,4.79,0.5,4.4,12091.0
4.79,2.15,0.55,4.0,1423.0
11.99,4.07,0.66,4.3,6255.0
11.99,4.79,0.6,4.0,1236.0
4.79,2.39,0.5,4.2,1335.0
23.99,4.19,0.83,3.8,197.0
9.58,3.59,0.63,4.4,28791.0
9.6,1.07,0.89,3.9,1075.0
11.94,6.59,0.45,4.2,29746.0
12.0,1.55,0.87,3.9,295.0
1678.8,935.88,0.44,4.7,5935.0
9.59,4.19,0.56,3.6,323.0
10.79,5.99,0.44,3.7,185.0
9.59,3.59,0.63,4.2,2117.0
7.19,2.18,0.7,4.0,9378.0
4.79,1.15,0.76,3.6,1796.0
1020.0,659.88,0.35,4.3,3587.0
9.1,5.27,0.42,4.2,4296.0
11.99,3.59,0.7,4.3,2651.0
9.59,3.59,0.63,4.2,94363.0
23.99,9.47,0.61,4.2,34540.0
8.4,3.59,0.57,4.4,8714.0
13.19,3.9,0.7,4.2,10576.0
23.99,15.59,0.35,4.4,7318.0
23.99,9.48,0.6,3.0,103.0
56.39,56.39,0.0,4.5,224.0
299.88,227.99,0.24,4.3,4702.0
11.99,2.39,0.8,4.2,85.0
7.8,3.23,0.59,4.4,35877.0
37.2,23.88,0.36,4.0,897.0
47.99,27.59,0.43,3.8,282.0
599.88,431.99,0.28,4.3,1611.0
11.99,4.19,0.65,4.2,513.0
17.99,8.63,0.52,4.1,1045.0
227.99,107.99,0.53,4.0,6347.0
27.59,11.0,0.6,4.2,3300.0
11.99,4.79,0.6,3.3,23.0
838.8,551.99,0.34,4.3,7109.0
3.59,1.43,0.6,3.8,51.0
359.99,263.99,0.27,4.2,32840.0
7.19,3.59,0.5,3.7,708.0
419.88,263.88,0.37,4.3,1657.0
8.04,5.01,0.38,3.9,523.0
11.99,2.39,0.8,3.0,18296.0
959.88,575.88,0.4,4.3,1376.0
5.99,2.58,0.57,3.5,121.0
9.6,1.19,0.88,3.9,1075.0
420.0,227.99,0.46,4.0,1001.0
11.99,2.99,0.75,4.3,112.0
191.99,95.99,0.5,3.8,3022.0
19.2,7.79,0.59,4.3,5451.0
29.99,15.47,0.48,3.3,73.0
18.0,7.31,0.59,4.5,1029.0
659.88,395.88,0.4,4.1,1555.0
23.99,7.19,0.7,4.2,47.0
10.79,4.19,0.61,4.1,14896.0
611.99,359.99,0.41,4.4,1712.0
4.79,2.39,0.5,4.2,1335.0
8.39,4.19,0.5,3.9,214.0
54.0,22.2,0.59,4.0,184.0
346.8,167.88,0.52,4.5,7.0
5.39,1.55,0.71,3.7,41.0
11.99,4.55,0.62,4.2,12153.0
5.99,2.22,0.63,4.2,25.0
11.99,2.62,0.78,4.2,163.0
11.99,2.39,0.8,4.3,87.0
10.8,5.99,0.45,4.4,2165.0
515.99,323.99,0.37,4.2,1510.0
12.62,10.72,0.15,4.3,106.0
239.88,131.88,0.45,3.7,129.0
13.19,4.55,0.66,4.3,3049.0
311.99,203.99,0.35,4.2,32840.0
22.79,8.39,0.63,4.4,390.0
42.0,32.39,0.23,3.5,621.0
7.19,1.55,0.78,4.1,265.0
11.99,4.67,0.61,4.3,838.0
7.2,2.95,0.59,4.2,143.0
9.59,3.59,0.63,4.0,151.0
4.79,2.96,0.38,3.9,200.0
35.99,16.43,0.54,3.3,227.0
5.99,2.39,0.6,3.8,538.0
7.19,3.59,0.5,4.0,171.0
179.99,179.99,0.0,4.3,27508.0
8.39,3.59,0.57,3.9,1454.0
623.88,299.88,0.52,4.2,2951.0
11.99,2.99,0.75,5.0,18296.0
839.99,743.99,0.11,4.1,6753.0
600.0,293.99,0.51,3.9,3518.0
233.99,125.99,0.46,4.2,1510.0
11.99,4.19,0.65,4.3,838.0
5.99,2.36,0.61,3.8,136.0
